PLA2G1B	['CELA3A', 'CPA1', 'CTRC', 'CTRB2', 'PNLIPRP1', 'PNLIP', 'CLPS', 'CTRB1', 'CELA3B', 'CPB1', 'SYCN', 'CELA2A', 'PRSS1']
MYL1	['ACTA1', 'MYL2', 'CKM']
CD74	['HLA.DRA']
RPS29	['RPL32', 'RPL30', 'RPL11', 'RPL37A', 'RPL31', 'RPL26', 'RPL36A', 'RPL23', 'RPL38', 'RPS21', 'RPL13A']
SPRR3	['KRT4', 'KRT13', 'KRT6A', 'CRNN']
GH1	['PRL']
LIPF	['PGC']
ORM1	['FGA', 'FGB']
KDM5C	['ZFX', 'DDX3X']
RPS27	['RPL35A', 'RPS15A']
S100A8	['S100A9']
FCGR3B	['CXCR1']
KRT2	['KRT1', 'CASP14', 'CALML5']
MYH1	['MYH2']
SFTPA1	['SFTPB']
PRM2	['PRM1']
REG1B	['REG1A']
DUSP1	['FOS']
HBA1	['HBB', 'HBA2']
C21orf33	['PWP2']
TMEM160	['TPGS1']
IFI44L	['IFI44']
C1QB	['C1QC', 'C1QA']
HSPA1B	['HSPA1A']
